fileName,IntervalName,duration,start,end
Czech_Prague_C1_conv.TextGrid,1,0.19986266428918498,637.8808796490486,638.0807423133377
Czech_Prague_C1_conv.TextGrid,1,0.06322145781791733,638.0807423133377,638.1439637711557
Czech_Prague_C1_conv.TextGrid,1,0.1632394992961963,638.1439637711557,638.3072032704519
Czech_Prague_C1_conv.TextGrid,1,0.11215775121706884,638.3072032704519,638.4193610216689
Czech_Prague_C1_conv.TextGrid,1,0.1971205569553831,638.4193610216689,638.6164815786243
Czech_Prague_C1_conv.TextGrid,1,0.3453570359257583,638.6164815786243,638.9618386145501
Czech_Prague_C1_conv.TextGrid,1,0.08219839075786695,638.9618386145501,639.0440370053079
Czech_Prague_C1_conv.TextGrid,1,0.19766415561025497,639.0440370053079,639.2417011609182
Czech_Prague_C1_conv.TextGrid,1,0.29355651432570085,639.2417011609182,639.5352576752439
Czech_Prague_C1_conv.TextGrid,1,0.19181995820156317,639.5352576752439,639.7270776334454
Czech_Prague_C1_conv.TextGrid,1,0.12439920339090804,639.7270776334454,639.8514768368364
Czech_Prague_C1_conv.TextGrid,1,0.20871367718063993,639.8514768368364,640.060190514017
Czech_Prague_C1_conv.TextGrid,1,0.21562474403560827,640.060190514017,640.2758152580526
Czech_Prague_C1_conv.TextGrid,1,0.29191956944748654,640.2758152580526,640.5677348275001
Czech_Prague_C1_conv.TextGrid,1,0.04215882830715145,640.8581361174664,640.9002949457736
Czech_Prague_C1_conv.TextGrid,1,0.49910631557702345,640.9002949457736,641.3994012613506
Czech_Prague_C1_conv.TextGrid,1,0.1028187100349669,641.648884015467,641.751702725502
Czech_Prague_C1_conv.TextGrid,1,0.0867935229472323,641.751702725502,641.8384962484492
Czech_Prague_C1_conv.TextGrid,1,0.14352175138503753,641.8384962484492,641.9820179998343
Czech_Prague_C1_conv.TextGrid,1,0.13014532870192852,641.9820179998343,642.1121633285362
Czech_Prague_C1_conv.TextGrid,1,0.14227674782193844,642.1121633285362,642.2544400763582
Czech_Prague_C1_conv.TextGrid,1,0.12180839478025973,642.2544400763582,642.3762484711384
Czech_Prague_C1_conv.TextGrid,1,0.2737933282992344,642.3762484711384,642.6500417994376
Czech_Prague_C1_conv.TextGrid,1,0.06999647113366336,642.6500417994376,642.7200382705713
Czech_Prague_C1_conv.TextGrid,1,0.11555442977100938,642.7200382705713,642.8355927003423
Czech_Prague_C1_conv.TextGrid,1,0.11676560512466949,642.8355927003423,642.952358305467
Czech_Prague_C1_conv.TextGrid,1,0.16871510963687797,642.952358305467,643.1210734151039
Czech_Prague_C1_conv.TextGrid,1,0.13731350096384176,643.1210734151039,643.2583869160677
Czech_Prague_C1_conv.TextGrid,1,0.1657023398219053,643.2583869160677,643.4240892558896
Czech_Prague_C1_conv.TextGrid,1,0.09188947935581382,643.4240892558896,643.5159787352454
Czech_Prague_C1_conv.TextGrid,1,0.22143858139838812,643.5159787352454,643.7374173166438
Czech_Prague_C1_conv.TextGrid,2,0.47323701612890545,667.5853696084055,668.0586066245344
Czech_Prague_C1_conv.TextGrid,2,0.19169008290373313,668.0586066245344,668.2502967074381
Czech_Prague_C1_conv.TextGrid,2,0.441354081821828,668.2502967074381,668.6916507892599
Czech_Prague_C1_conv.TextGrid,2,0.3863747375337425,669.2324649458586,669.6188396833924
Czech_Prague_C1_conv.TextGrid,2,0.1305413481444475,669.6188396833924,669.7493810315368
Czech_Prague_C1_conv.TextGrid,2,0.18648764020645103,669.7493810315368,669.9358686717433
Czech_Prague_C1_conv.TextGrid,2,0.1404244734879967,669.9358686717433,670.0762931452313
Czech_Prague_C1_conv.TextGrid,2,0.08027350191923688,670.0762931452313,670.1565666471505
Czech_Prague_C1_conv.TextGrid,2,0.21938315903389594,670.1565666471505,670.3759498061844
Czech_Prague_C1_conv.TextGrid,2,0.35584999613342916,670.3759498061844,670.7317998023178
Czech_Prague_C1_conv.TextGrid,2,0.16444583154645898,670.7317998023178,670.8962456338643
Czech_Prague_C1_conv.TextGrid,2,0.15096666502631706,670.8962456338643,671.0472122988906
Czech_Prague_C1_conv.TextGrid,2,0.10783333216159008,671.0472122988906,671.1550456310522
Czech_Prague_C1_conv.TextGrid,2,0.4528999950788375,671.1550456310522,671.607945626131
Czech_Prague_C1_conv.TextGrid,2,0.6705769712006031,671.607945626131,672.2785225973316
Czech_Prague_C1_conv.TextGrid,2,0.5704982360016402,672.2785225973316,672.8490208333333
Czech_Prague_C1_conv.TextGrid,2,0.26002357316474445,672.8490208333333,673.109044406498
Czech_Prague_C1_conv.TextGrid,2,0.3971240747137017,673.109044406498,673.5061684812117
Czech_Prague_C1_conv.TextGrid,2,0.3550048546683229,673.5061684812117,673.86117333588
Czech_Prague_C1_conv.TextGrid,2,0.2136681031460057,673.86117333588,674.074841439026
Czech_Prague_C1_conv.TextGrid,2,0.46331142049928076,674.074841439026,674.5381528595253
Czech_Prague_C1_conv.TextGrid,2,0.12635766013613647,674.5381528595253,674.6645105196615
Czech_Prague_C1_conv.TextGrid,2,0.10228953439593624,674.6645105196615,674.7668000540574
Czech_Prague_C1_conv.TextGrid,2,0.07220437722071438,674.7668000540574,674.8390044312781
Czech_Prague_C1_conv.TextGrid,2,0.19254500592171553,674.8390044312781,675.0315494371998
Czech_Prague_C1_conv.TextGrid,2,0.1143235972660932,675.0315494371998,675.1458730344659
Czech_Prague_C1_conv.TextGrid,2,0.09627250296091461,675.1458730344659,675.2421455374268
Czech_Prague_C1_conv.TextGrid,2,0.12635766013613647,675.2421455374268,675.368503197563
Czech_Prague_C1_conv.TextGrid,2,0.14440875444131507,675.368503197563,675.5129119520043
Czech_Prague_C1_conv.TextGrid,2,0.18051094305167226,675.5129119520043,675.693422895056
Czech_Prague_C1_conv.TextGrid,2,0.07242397096285913,675.693422895056,675.7658468660188
Czech_Prague_C1_conv.TextGrid,2,0.16452093240604881,675.7658468660188,675.9303677984249
Czech_Prague_C1_conv.TextGrid,2,0.15469878718772634,675.9303677984249,676.0850665856126
