time,f0,language,location,group,gender,speaker,condition,f0_cent,dt,df0,f0stab
0,243.400702734118,Czech,Prague,R3,Female,22,conv,-1025.00422849992,0.00498866213151927,2299.45769326425,-2299.45769326425
0.00498866213151927,244.810708660931,Czech,Prague,R3,Female,22,conv,-1015.00422849992,0.00498866213151927,2295.05827503572,-2295.05827503572
0.00997732426303855,244.810708660931,Czech,Prague,R3,Female,22,conv,-1015.00422849992,0.00498866213151927,2179.32785441236,-2179.32785441236
0.0149659863945578,244.810708660931,Czech,Prague,R3,Female,22,conv,-1015.00422849992,0.00498866213151927,1975.39584139385,-1975.39584139385
0.0199546485260771,244.810708660931,Czech,Prague,R3,Female,22,conv,-1015.00422849992,0.00498866213151928,1720.12519085772,-1720.12519085772
0.0249433106575964,244.810708660931,Czech,Prague,R3,Female,22,conv,-1015.00422849992,0.00498866213151927,1454.00691166605,-1454.00691166605
0.0299319727891156,246.228882668983,Czech,Prague,R3,Female,22,conv,-1005.00422849992,0.00498866213151928,1211.06015909186,-1211.06015909186
0.0349206349206349,246.228882668983,Czech,Prague,R3,Female,22,conv,-1005.00422849992,0.00498866213151927,1011.8847770025,-1011.8847770025
0.0399092970521542,246.228882668983,Czech,Prague,R3,Female,22,conv,-1005.00422849992,0.00498866213151927,861.41363287778,-861.41363287778
0.0448979591836735,246.228882668983,Czech,Prague,R3,Female,22,conv,-1005.00422849992,0.00498866213151928,751.121146126103,-751.121146126103
0.0498866213151927,247.655272075488,Czech,Prague,R3,Female,22,conv,-995.004228499922,0.00498866213151927,664.222436638347,-664.222436638347
0.054875283446712,246.228882668983,Czech,Prague,R3,Female,22,conv,-1005.00422849992,0.00498866213151927,581.946713114502,-581.946713114502
0.0598639455782313,250.532887724826,Czech,Prague,R3,Female,22,conv,-975.004228499922,0.00498866213151928,489.062692571189,-489.062692571189
0.0648526077097506,250.532887724826,Czech,Prague,R3,Female,22,conv,-975.004228499922,0.0349206349206349,377.204249800837,-377.204249800837
0.0997732426303855,250.532887724826,Czech,Prague,R3,Female,22,conv,-975.004228499922,0.00498866213151927,245.13334823001,-245.13334823001
0.104761904761905,249.089924471765,Czech,Prague,R3,Female,22,conv,-985.004228499921,0.00498866213151927,95.9626588796188,-95.9626588796188
0.109750566893424,249.089924471765,Czech,Prague,R3,Female,22,conv,-985.004228499921,0.00498866213151927,-67.5166449336102,-67.5166449336102
0.114739229024943,249.089924471765,Czech,Prague,R3,Female,22,conv,-985.004228499921,0.00498866213151927,-247.270567515239,-247.270567515239
0.119727891156463,246.228882668983,Czech,Prague,R3,Female,22,conv,-1005.00422849992,0.00498866213151927,-451.816281225245,-451.816281225245
0.124716553287982,246.228882668983,Czech,Prague,R3,Female,22,conv,-1005.00422849992,0.00498866213151929,-693.815886392184,-693.815886392184
0.129705215419501,249.089924471765,Czech,Prague,R3,Female,22,conv,-985.004228499921,0.00498866213151927,-983.747887154392,-983.747887154392
0.13469387755102,249.089924471765,Czech,Prague,R3,Female,22,conv,-985.004228499921,0.0798185941043084,-1321.99932129617,-1321.99932129617
0.214512471655329,253.443939657412,Czech,Prague,R3,Female,22,conv,-955.004228499922,0.00498866213151927,-1692.9421570342,-1692.9421570342
0.219501133786848,244.810708660931,Czech,Prague,R3,Female,22,conv,-1015.00422849992,0.00498866213151927,-2064.14931446223,-2064.14931446223
0.224489795918367,241.998817843858,Czech,Prague,R3,Female,22,conv,-1035.00422849992,0.00498866213151927,-2391.89421611334,-2391.89421611334
0.229478458049887,237.841423000544,Czech,Prague,R3,Female,22,conv,-1065.00422849992,0.00498866213151927,-2631.37898352494,-2631.37898352494
0.234467120181406,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,-2748.08260659372,-2748.08260659372
0.239455782312925,232.409117391568,Czech,Prague,R3,Female,22,conv,-1105.00422849992,0.00498866213151927,-2726.2087573266,-2726.2087573266
0.244444444444444,229.739670999407,Czech,Prague,R3,Female,22,conv,-1125.00422849992,0.00498866213151927,-2571.55490436055,-2571.55490436055
0.249433106575964,228.416467862154,Czech,Prague,R3,Female,22,conv,-1135.00422849992,0.0049886621315193,-2308.4477169455,-2308.4477169455
0.254421768707483,228.416467862154,Czech,Prague,R3,Female,22,conv,-1135.00422849992,0.00498866213151927,-1972.5382482668,-1972.5382482668
0.259410430839002,228.416467862154,Czech,Prague,R3,Female,22,conv,-1135.00422849992,0.00498866213151927,-1602.33256410156,-1602.33256410156
0.264399092970522,227.100885814175,Czech,Prague,R3,Female,22,conv,-1145.00422849992,0.00498866213151927,-1232.10777531712,-1232.10777531712
0.269387755102041,227.100885814175,Czech,Prague,R3,Female,22,conv,-1145.00422849992,0.00498866213151927,-887.716934638858,-887.716934638858
0.27437641723356,227.100885814175,Czech,Prague,R3,Female,22,conv,-1145.00422849992,0.00498866213151927,-585.413534166264,-585.413534166264
0.279365079365079,227.100885814175,Czech,Prague,R3,Female,22,conv,-1145.00422849992,0.00498866213151927,-332.844773763562,-332.844773763562
0.284353741496599,227.100885814175,Czech,Prague,R3,Female,22,conv,-1145.00422849992,0.0299319727891156,-131.058455156626,-131.058455156626
0.314285714285714,228.416467862154,Czech,Prague,R3,Female,22,conv,-1135.00422849992,0.00498866213151927,23.3527659961176,-23.3527659961176
0.319274376417234,228.416467862154,Czech,Prague,R3,Female,22,conv,-1135.00422849992,0.00498866213151927,136.326662453863,-136.326662453863
0.324263038548753,228.416467862154,Czech,Prague,R3,Female,22,conv,-1135.00422849992,0.00498866213151927,214.590815869736,-214.590815869736
0.329251700680272,228.416467862154,Czech,Prague,R3,Female,22,conv,-1135.00422849992,0.00498866213151927,264.004243892126,-264.004243892126
0.334240362811791,228.416467862154,Czech,Prague,R3,Female,22,conv,-1135.00422849992,0.00498866213151927,288.09585849529,-288.09585849529
0.339229024943311,228.416467862154,Czech,Prague,R3,Female,22,conv,-1135.00422849992,0.00498866213151927,287.200629154893,-287.200629154893
0.34421768707483,229.739670999407,Czech,Prague,R3,Female,22,conv,-1125.00422849992,0.00498866213151927,258.712808337004,-258.712808337004
0.349206349206349,229.739670999407,Czech,Prague,R3,Female,22,conv,-1125.00422849992,0.00498866213151927,198.789727084176,-198.789727084176
0.354195011337868,229.739670999407,Czech,Prague,R3,Female,22,conv,-1125.00422849992,0.00498866213151927,105.361454887378,-105.361454887378
0.359183673469388,229.739670999407,Czech,Prague,R3,Female,22,conv,-1125.00422849992,0.00498866213151927,-18.3206901648399,-18.3206901648399
0.364172335600907,231.070539374455,Czech,Prague,R3,Female,22,conv,-1115.00422849992,0.00498866213151927,-160.881633107054,-160.881633107054
0.369160997732426,231.070539374455,Czech,Prague,R3,Female,22,conv,-1115.00422849992,0.00498866213151933,-302.176479682751,-302.176479682751
0.374149659863946,232.409117391568,Czech,Prague,R3,Female,22,conv,-1105.00422849992,0.0598639455782313,-415.734546764806,-415.734546764806
0.434013605442177,227.100885814175,Czech,Prague,R3,Female,22,conv,-1145.00422849992,0.00498866213151927,-474.176128095125,-474.176128095125
0.439002267573696,224.492409661875,Czech,Prague,R3,Female,22,conv,-1165.00422849992,0.00498866213151927,-456.220935265079,-456.220935265079
0.443990929705215,225.792880961226,Czech,Prague,R3,Female,22,conv,-1155.00422849992,0.00498866213151927,-353.019547793524,-353.019547793524
0.448979591836735,224.492409661875,Czech,Prague,R3,Female,22,conv,-1165.00422849992,0.00498866213151927,-171.537813520263,-171.537813520263
0.453968253968254,225.792880961226,Czech,Prague,R3,Female,22,conv,-1155.00422849992,0.00498866213151927,66.2958504816241,-66.2958504816241
0.458956916099773,225.792880961226,Czech,Prague,R3,Female,22,conv,-1155.00422849992,0.00498866213151927,328.430865857292,-328.430865857292
0.463945578231293,227.100885814175,Czech,Prague,R3,Female,22,conv,-1145.00422849992,0.00498866213151927,579.889358427578,-579.889358427578
0.468934240362812,229.739670999407,Czech,Prague,R3,Female,22,conv,-1125.00422849992,0.00498866213151927,790.050606550936,-790.050606550936
0.473922902494331,229.739670999407,Czech,Prague,R3,Female,22,conv,-1125.00422849992,0.00498866213151927,938.047252435022,-938.047252435022
0.47891156462585,231.070539374455,Czech,Prague,R3,Female,22,conv,-1115.00422849992,0.00498866213151927,1015.21489224792,-1015.21489224792
0.48390022675737,232.409117391568,Czech,Prague,R3,Female,22,conv,-1105.00422849992,0.00498866213151927,1024.58541359129,-1024.58541359129
0.488888888888889,232.409117391568,Czech,Prague,R3,Female,22,conv,-1105.00422849992,0.00498866213151927,978.173470472098,-978.173470472098
0.493877551020408,233.755449712249,Czech,Prague,R3,Female,22,conv,-1095.00422849992,0.00498866213151927,893.114850380346,-893.114850380346
0.498866213151927,233.755449712249,Czech,Prague,R3,Female,22,conv,-1095.00422849992,0.00498866213151933,787.659770680559,-787.659770680559
0.503854875283447,233.755449712249,Czech,Prague,R3,Female,22,conv,-1095.00422849992,0.00498866213151927,677.791445020589,-677.791445020589
0.508843537414966,233.755449712249,Czech,Prague,R3,Female,22,conv,-1095.00422849992,0.00498866213151927,574.975718564397,-574.975718564397
0.513832199546485,233.755449712249,Czech,Prague,R3,Female,22,conv,-1095.00422849992,0.00498866213151927,485.290724905064,-485.290724905064
0.518820861678005,233.755449712249,Czech,Prague,R3,Female,22,conv,-1095.00422849992,0.00498866213151927,409.91095779847,-409.91095779847
0.523809523809524,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,346.623924483606,-346.623924483606
0.528798185941043,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,291.810052771324,-291.810052771324
0.533786848072562,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,242.231511996214,-242.231511996214
0.538775510204082,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,196.121540314862,-196.121540314862
0.543764172335601,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,153.395193931779,-153.395193931779
0.54875283446712,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,115.163221368503,-115.163221368503
0.553741496598639,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,82.9552872277551,-82.9552872277551
0.558730158730159,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,58.0632370128526,-58.0632370128526
0.563718820861678,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,41.2381280189783,-41.2381280189783
0.568707482993197,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,32.7363206078353,-32.7363206078353
0.573696145124717,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,32.5325994778266,-32.5325994778266
0.578684807256236,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,40.4675830371486,-40.4675830371486
0.583673469387755,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,56.170220978382,-56.170220978382
0.588662131519274,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,78.744691559296,-78.744691559296
0.593650793650794,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,106.368256935302,-106.368256935302
0.598639455782313,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,136.044166244554,-136.044166244554
0.603628117913832,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,163.74094122937,-163.74094122937
0.608616780045351,235.109581256722,Czech,Prague,R3,Female,22,conv,-1085.00422849992,0.00498866213151927,185.013236128939,-185.013236128939
0.613605442176871,236.47155720543,Czech,Prague,R3,Female,22,conv,-1075.00422849992,0.00498866213151927,195.987196848466,-195.987196848466
0.61859410430839,236.47155720543,Czech,Prague,R3,Female,22,conv,-1075.00422849992,0.00498866213151927,194.402813348244,-194.402813348244
0.623582766439909,236.47155720543,Czech,Prague,R3,Female,22,conv,-1075.00422849992,0.00498866213151927,180.338860062916,-180.338860062916
0.628571428571429,236.47155720543,Czech,Prague,R3,Female,22,conv,-1075.00422849992,0.00498866213151927,156.343760617366,-156.343760617366
0.633560090702948,236.47155720543,Czech,Prague,R3,Female,22,conv,-1075.00422849992,0.00498866213151927,126.907204585113,-126.907204585113
0.638548752834467,236.47155720543,Czech,Prague,R3,Female,22,conv,-1075.00422849992,0.00498866213151927,97.4221115925674,-97.4221115925674
