time,f0,language,location,group,gender,speaker,condition,f0_cent,dt,df0,f0stab
0.309297052154195,221.913894413569,Czech,Prague,R3,Female,27,sing,-1185.00422849992,0.00498866213151927,633.02740734482,-633.02740734482
0.314285714285714,219.364995938925,Czech,Prague,R3,Female,27,sing,-1205.00422849992,0.00498866213151927,413.764314601412,-413.764314601412
0.319274376417234,218.101546533052,Czech,Prague,R3,Female,27,sing,-1215.00422849992,0.00498866213151927,90.8917995964311,-90.8917995964311
0.324263038548753,218.101546533052,Czech,Prague,R3,Female,27,sing,-1215.00422849992,0.00498866213151927,-296.464638409795,-296.464638409795
0.329251700680272,218.101546533052,Czech,Prague,R3,Female,27,sing,-1215.00422849992,0.00498866213151927,-695.808426848849,-695.808426848849
0.334240362811791,216.845374060284,Czech,Prague,R3,Female,27,sing,-1225.00422849992,0.00498866213151927,-1050.09754427781,-1050.09754427781
0.339229024943311,214.354692507259,Czech,Prague,R3,Female,27,sing,-1245.00422849992,0.00498866213151927,-1307.14765883251,-1307.14765883251
0.34421768707483,208.252430506961,Czech,Prague,R3,Female,27,sing,-1295.00422849992,0.00498866213151927,-1426.86712430893,-1426.86712430893
0.349206349206349,208.252430506961,Czech,Prague,R3,Female,27,sing,-1295.00422849992,0.00498866213151927,-1384.48804175763,-1384.48804175763
0.354195011337868,208.252430506961,Czech,Prague,R3,Female,27,sing,-1295.00422849992,0.00498866213151927,-1169.65175514291,-1169.65175514291
0.359183673469388,208.252430506961,Czech,Prague,R3,Female,27,sing,-1295.00422849992,0.00498866213151927,-783.088625480638,-783.088625480638
0.364172335600907,208.252430506961,Czech,Prague,R3,Female,27,sing,-1295.00422849992,0.00498866213151927,-233.834425457954,-233.834425457954
0.369160997732426,207.052984768275,Czech,Prague,R3,Female,27,sing,-1305.00422849992,0.00498866213151933,460.35337087089,-460.35337087089
0.374149659863946,207.052984768275,Czech,Prague,R3,Female,27,sing,-1305.00422849992,0.00498866213151927,1268.6877192394,-1268.6877192394
