fileName,IntervalName,duration,start,end,language,location,group,condition,IOI,speaker,gender
Czech_Prague_S2_sing.TextGrid,16,0.440589838606229,1333.0004166666663,1333.4410065052728,Czech,Prague,S2,sing,2.269684664456676,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.170583071445435,1333.4410065052728,1333.6115895767182,Czech,Prague,S2,sing,5.862246420623711,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.2729329143126051,1333.6115895767182,1333.8845224910308,Czech,Prague,S2,sing,3.6639040128910394,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.9312691756356344,1333.8845224910308,1334.8157916666664,Czech,Prague,S2,sing,1.0738033923623143,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.3252114959416303,1334.8157916666664,1335.141003162608,Czech,Prague,S2,sing,3.0749220506629396,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.636101004058446,1335.141003162608,1335.7771041666665,Czech,Prague,S2,sing,1.5720773801956116,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.2776885146340646,1376.47925,1376.756938514634,Czech,Prague,S2,sing,3.601157222212777,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.2682164240509337,1376.756938514634,1377.0251549386849,Czech,Prague,S2,sing,3.7283324596487133,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.2696206985224307,1377.0251549386849,1377.2947756372073,Czech,Prague,S2,sing,3.7089140614210168,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.5075650240873983,1377.2947756372073,1377.8023406612947,Czech,Prague,S2,sing,1.9701909165195128,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.6080508461470799,1378.479136798664,1379.0871876448111,Czech,Prague,S2,sing,1.6445993066805344,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.2877800298319926,1379.0871876448111,1379.3749676746431,Czech,Prague,S2,sing,3.474876281664871,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.2288967388496985,1379.3749676746431,1379.6038644134928,Czech,Prague,S2,sing,4.368782207319408,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.8645701941320567,1379.6038644134928,1380.4684346076249,Czech,Prague,S2,sing,1.1566440837159573,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.3469131954857403,1381.054834500769,1381.4017476962547,Czech,Prague,S2,sing,2.8825654746278007,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.1896791572439724,1381.4017476962547,1381.591426853499,Czech,Prague,S2,sing,5.272060539122718,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.6289361529670714,1381.591426853499,1382.2203630064655,Czech,Prague,S2,sing,1.5899865117983703,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.3029296307990989,1431.5743951833977,1431.8773248141968,Czech,Prague,S2,sing,3.301096684936687,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.3639514269309529,1431.8773248141968,1432.2412762411277,Czech,Prague,S2,sing,2.747619396446865,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.3508753277599226,1432.2412762411277,1432.5921515688876,Czech,Prague,S2,sing,2.850015150350566,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.9920300812684671,1432.5921515688876,1433.584181650156,Czech,Prague,S2,sing,1.0080339486493615,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.2738415826843265,1433.584181650156,1433.8580232328404,Czech,Prague,S2,sing,3.6517463498330693,16,Male
Czech_Prague_S2_sing.TextGrid,16,0.8154351004927776,1433.8580232328404,1434.6734583333332,Czech,Prague,S2,sing,1.2263391646934103,16,Male
