"dataid","type","icc","pvalue","N","mu_dlt","sgm_dlt"
"p11","conv",0.999773130526277,5.86665456223298e-57,33,0.027517194356478,0.0391358684002159
"p11","sing",0.999999182291073,5.53122864886143e-12,32,0.0258445377052254,0.0212952380575906
