SpeakerID,d,sgm,Cohens_d
1,0.991550915924998,0.00111824084485818,3.37843732337277
2,0.958964294562121,0.00282432505879585,2.45902278986501
3,0.914877024455712,0.00504245942363821,1.93947220841766
6,0.861326881891901,0.00822228659880894,1.53626035529962
7,0.994127349443805,0.000932824317555297,3.56340188846032
4,0.57340145229095,0.0105729739832155,0.261687098824144
5,0.673778112897905,0.00984907412210635,0.636919163243318
22,0.647407157103532,0.0113846127493657,0.535038990881028
26,0.816003844134516,0.00785212233182504,1.27313223361712
27,0.907196356000321,0.00674622383252862,1.87197495718049
21,0.692153356171279,0.0114895541798747,0.709883405735655
23,0.818589665001379,0.00945507689465026,1.2869392753449
24,0.636554766821187,0.0126175014542555,0.493935121845332
25,0.400085605206391,0.00997777234912813,-0.357973558688434
12,0.819085873295539,0.00871448193165452,1.28960283443923
14,0.926454212966198,0.00528025799758697,2.05044204581773
15,0.784530610512998,0.0105436946712733,1.11381511057307
17,0.959636698316778,0.00382328335997118,2.46990365276037
20,0.867738972592946,0.00684343991065268,1.57793225573784
11,0.575616748067002,0.0159864744156614,0.26967993984267
13,0.879577782227321,0.0107814596331033,1.65870102364588
16,0.54375664614455,0.0194374418157848,0.155425592009236
18,0.922428074033352,0.00478628125346401,2.01043895450661
19,0.911137927102733,0.00578163069370298,1.9060707627809
