SpeakerID,d,sgm,Cohens_d
1,0.928110599078341,0.0334044077679667,2.06738624390179
2,0.718137254901961,0.0676859981987087,0.816449199320798
3,0.894354838709677,0.0440163033838554,1.7678026661942
4,0.791788856304985,0.0595184712301861,1.14925194291242
5,0.778309409888357,0.0574987617029753,1.08398915947828
6,0.756704980842912,0.060539559477655,0.983928629044861
7,0.633874239350913,0.0710263968613197,0.48384778060496
21,0.718614718614719,0.0668891943543644,0.818449506831376
22,0.830459770114943,0.053621395098349,1.35196514161454
23,0.939278937381404,0.0266220841224096,2.19026151418273
24,0.92375366568915,0.0319338671019231,2.0234314808781
25,0.773848684210526,0.05963970260625,1.06289708092787
26,0.936921783010934,0.0276104092306674,2.16294890347371
27,0.902150537634409,0.0386637143180633,1.82985518496372
11,0.713068181818182,0.0658006983744172,0.795311941442262
12,0.768421052631579,0.0745321043010237,1.0375474871593
13,0.923655913978495,0.0364753633092694,2.02246754576179
14,0.735483870967742,0.0649129845032852,0.890224771772015
15,0.880952380952381,0.0494563453580671,1.66843417288713
16,0.903010033444816,0.0556587002394494,1.83691505992083
17,0.691111111111111,0.0701005784754794,0.70569579213799
18,0.726242371403662,0.0628796564806087,0.850631945199
19,0.945101351351351,0.0247920290848407,2.26147582968602
20,0.77324973876698,0.0635483119865727,1.06008305064196
